ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
11,train,L-HSAB,صباح الكسمك يا ميونخ يا مدينه خري بنت وسخه,"صباح الخير يا ميونخ، رغم أن كثيرين يرون أن صورتك لا تعكس ما تتفاخرين به.","صباح الخير يا ميونخ، مدينة خيبة وصراحة مخيبة للآمال","صباح الخير يا ميونخ، مدينة مخيبة وبتزعّل بصراحة","صباح الخير يا ميونخ، مدينة مخيبة ومزعلة بصراحة","صباح الخير يا ميونخ، أرى أنك مدينة مليئة بالعيوب والفساد الأخلاقي ولا أكن لك أي احترام.","يا ميونخ، يا مدينة مقرفة وما تنطاق.","صباح الخير يا ميونخ، يا مدينة اللي صاير فيكي صار لا يطاق ومقرف.","صباح الخير يا ميونخ، مع إني مش شايف فيكي أي خير يتقال. يا مدينة الواحد بيقرف منها، يا مدينة مالهاش أي قيمة."
12,train,L-HSAB,الارهاب السعودي الي مزابل التاريخ وكل مين بشد علي مشدها السؤال لماذا هذا الاستهتار ويجب علي سوريا,أرى أن السياسات السعودية التي يعتبرها البعض داعمة للتطرف تستحق المراجعة والمحاسبة.,"النهج السعودي هذا مكانه مزابل التاريخ، وكل من يدعمه ماشي على خطاه. السؤال: ليش هالاستهتار؟ ويجب على سوريا تتصرف وتاخذ موقف واضح.","النهج السعودي هاد مصيره مزابل التاريخ، وكل واحد بدعمه ماشي وراه. السؤال ليش هالاستهتار؟ ولازم على سوريا تاخد موقف واضح.","النهج السعودي ده مصيره مزابل التاريخ، وكل اللي بيسنده ماشي وراه. السؤال ليه الاستهتار ده؟ ولازم على سوريا تاخد موقف واضح.","السياسات والممارسات السعودية وكل من يدعمها ستواجه حكماً تاريخياً قاسياً، والسؤال هنا هو لماذا يستمر هذا الاستهتار، وعلى سوريا أن ترد بالشكل المناسب.","الفكر المتطرف اللي يُنسب لبعض الأطراف السعودية، مكانه مزابل التاريخ، وكل من يمشي على دربه. السؤال اللي يطرح نفسه، ليش هالاستهتار؟ ويجب على سوريا تتصدى لهالشي بحزم.","الأعمال التخريبية اللي عم بتيجي من السعودية لازم تروح على مزابل التاريخ، وكل مين بشد على مشدها كمان. السؤال ليش هالإستهتار؟ ولازم سوريا تاخد موقف حازم.","النهج الإرهابي المنسوب لجهات سعودية، لازم يبقى في طي النسيان، وأي حد بيشد على مشدها. السؤال اللي بيطرح نفسه: ليه فيه استهتار بالشكل ده؟ ويجب على سوريا..."
13,train,L-HSAB,ما باثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب,أفضل أن أبقى وفياً لمن دعمني على أن أتنكر له بعد أن استفدت منه.,"ما يضر نكون ناس محترمين أفضل من نكون ناس تجحد المعروف وتسيء للمكان اللي احتضنها، مثل معلمك اللي أكل ونكر الجميل.","ما بضر نكون ناس محترمين أحسن من نكون ناس بتجحد المعروف وبتسيء للمكان اللي احتضنها، متل معلمك اللي أكل ونكر الجميل.","ما يعيبناش نكون محترمين أحسن ما نبقى ناس بتجحد الجميل وبتسيء للمكان اللي احتواها، زي معلمك اللي أكل وأنكر الجميل.","لا يضر أن نكون في موقع ضعف، فذلك أفضل من أن نكون فاسدين أخلاقياً، فنحن لا نبصق في البئر الذي شربنا منه، مثل معلمك الذي تنكر لكل قيمة ومبدأ.","أفضل نكون أصحاب مبادئ ووفاء، ولا نكون من اللي يتنكرون للجميل وينسون فضل اللي وقفوا معاهم. مثل اللي علمك، اللي ما عنده لا ذمة ولا ضمير.","ما بتفرق نكون أصحاب مبدأ وضمير، أحسن ما نكون من اللي بينكروا المعروف وبيغدروا باللي وقف معهم، متل معلمك اللي أفعاله بتجيب العار.","مش فارق نكون ناس على نياتها، أحسن ما نكون ناس بتنكر الجميل. إحنا مش بنبصق في البير اللي شربنا منه، زي أستاذك اللي باع اللي علمه."
14,train,L-HSAB,سينهار اكثر واكثر لطالما نموذج وئام وهام موجود في مجتمعنا,سيستمر التراجع ما دام هذا النموذج من السلوك والتفكير موجوداً في مجتمعنا.,بنطيح اكثر واكثر دام نموذج وئام وهام موجود بمجتمعنا,رح ننهار أكتر وأكتر طول ما نموذج وئام وهام موجود بمجتمعنا,هننهار اكتر واكتر طول ما نموذج وئام وهام موجود في مجتمعنا,سينهار اكثر واكثر لطالما نموذج وئام وهام موجود في مجتمعنا.,الوضع بيتردى أكثر وأكثر طول ما هالعقليات اللي ما تخدم موجودة في مجتمعنا.,"رح يتدهور الوضع أكثر وأكثر، طالما النموذج اللي بيعتمد على السطحية والمظاهر موجود بمجتمعنا.",هينهار أكتر وأكتر طول ما النوعيات دي من الناس موجودة في مجتمعنا.
15,train,L-HSAB,اضف الي ذالك انه داعم لايران وحزب اللات,ويجب إضافة أنه من أبرز الداعمين لإيران وحزب الله بحسب منتقديه.,اضيف بعد هذا انه داعم لايران وحزب الله,وبزيد عليها انه بدعّم ايران وحزب الله,وكمان فوق ده هو داعم لايران وحزب الله,اضف الي ذالك انه داعم لايران وحزب الله,"غير كذا، هو يدعم إيران وحزب الله.","وغير هيك كمان، هو بيدعم إيران وحزب الله.",ده غير إنه بيدعم إيران وحزب الله.
16,train,L-HSAB,جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسيين واطيين,جبران باسيل ومن يشبهه من السياسيين يمثلون نموذجاً سياسياً يثير استياء كثير من الناس.,"هالسياسيين مثل جبران باسيل وامثاله تعبونا بفسادهم وتلاعبهم، كفاية انهيار وكفاية استهتار بمصير الناس.","السياسيين من نوع جبران باسيل وامثاله خربوا البلد بفسادهم ومصالحهم، عنجد كفاية لعب بمستقبل الناس.","السياسيين على شاكلة جبران باسيل وغيرهم ضيعوا البلد بفسادهم ومصالحهم، كفاية عبث بمستقبل الناس.","جبران باسيل هو التجسيد الحقيقي لهذه الفئة من السياسيين؛ فليتحملوا مسؤولية أفعالهم، لأن أمثال هؤلاء السياسيين يستحقون أشد الاستنكار.","كلهم على شاكلة جبران باسيل، وياخذون اللي لهم واللي مو لهم، وعساهم يلقون جزاتهم على أفعالهم اللي ما تليق بالمسؤولية.","حسبي الله ونعم الوكيل في جبران باسيل وكل اللي على شاكلته. فعلاً، ما شفنا سياسيين بمستوى متدني لهالدرجة!","السياسيين اللي زي جبران باسيل دول، ربنا يكشف حقيقتهم ويحاسبهم على كل اللي بيعملوه. دول ناس مالهاش ضمير ولا مبدأ."
17,dev,L-HSAB,قديش صرت كاتب سمعت شي مره البيك تطلع عليك او رد يا مفتن الطايفه يا ابن شعبان الله لا يوفقك كما قالوا,كم مرة كتبت هذا الكلام؟ هل سمعت يوماً رداً مباشراً من البيك؟ أنت تثير الانقسام الطائفي باستمرار.,"كم مرة كتبت عنك؟ قد سمعت يوم إن البيك طالع عليك أو رد؟ يا مثير الفتنة بين المذاهب، الله ما يوفقك على الي تسويه مثل ما قالوا.","قديش صرت كاتب عنك؟ سمعت مرة إنو البيك طلع عليك أو رد؟ يا مُفتن بين الطوائف، الله ما يوفقك على الي عملته متل ما حكو.","كام مرة كتبت عنك؟ سمعت قبل كده إن البيه طلع عليك أو رد؟ يا مُفتن بين الطوايف، ربنا ما يوفقك على اللي بتعمله زي ما قالوا.","رغم كل ما تكتبه، هل التفت البيك إليك يوماً أو رد على كلامك؟ إن جهودك لا تؤدي إلا لإثارة الفتنة والانقسام داخل المجتمع كما قيل عنك.",كم مرة صرت تكتب؟ عمرك سمعت إن البيك تطلع عليك؟ أو رد يا اللي تثير الفتنة بين جماعتك. نأمل ألا تنجح مساعيك.,"بعد كل هالكتابات، عمرك حسيت إن كلامك وصل لأصحاب القرار أو أثر فيهم؟ يا اللي بتحاول تزرع الفتنة والخلافات بين الناس، بتمنى من الله يهديك للصواب وللخير، وهاد رأي كتير من الناس.","يا اللي بتكتب كتير، عمرك شفت المسؤولين اهتموا بكلامك أو ردوا عليك؟ يا اللي كلامك بيعمل مشاكل بين الناس، زي ما اتقال."
18,train,L-HSAB,مهما تامر المفسدين وتاجرو باسم سيعرف العالم بانهم عملاء متصهينين,"مهما تآمر هؤلاء واستغلوا القضايا المختلفة، سيعرف العالم في النهاية حقيقة ارتباطاتهم ومواقفهم.","مهما تآمروا المفسدين وتاجروا بالاسم، العالم بيعرف بالنهاية إنهم عملاء متصهينين.","مهما تآمروا المفسدين وتاجروا بالاسم، العالم رح يعرف بالنهاية إنهم عملاء متصهينين.","مهما اتآمروا المفسدين واتاجروا بالاسم، العالم في الآخر هيعرف إنهم عملاء متصهينين.","مهما تآمر المفسدون وتاجروا باسم القضايا، سيعرف العالم أنهم عملاء متصهينون.","مهما يتآمرون المفسدين ويتاجرون باسم، العالم كله بيعرف إنهم عملاء يخدمون مصالح أطراف معادية.","مهما تآمروا المفسدين وتاجروا باسم قضيتنا، العالم رح يعرف إنهم عملاء بيخدموا أجندات الاحتلال.","مهما المفسدين يتآمروا ويستغلوا أي اسم، العالم كله هيعرف إنهم بيخدموا أجندات أطراف معادية."
19,dev,L-HSAB,يلي بدو يجيب سيره الوزير جبران باسيل بالعاطل بدو يسمع كلام اوسخ من اعمال حركه امل,من يهاجم جبران باسيل دون مبرر عليه أن يتوقع رداً قاسياً من مؤيديه.,اللي يبي يجيب سيرة الوزير جبران باسيل بالشين يتحمل يسمع كلام أقسى من تصرفات حركة أمل,اللي بده يجيب سيرة الوزير جبران باسيل بالعاطل يتحمل يسمع كلام أقسى من تصرفات حركة أمل,اللي عايز يجيب سيرة الوزير جبران باسيل بالوحش يستحمل يسمع كلام أشد من تصرفات حركة أمل,من يتحدث بسوء عن الوزير جبران باسيل يجب أن يستعد لسماع انتقاد لاذع يفوق في شدته ممارسات حركة أمل.,"اللي بيجيب سيرة الوزير جبران باسيل بالعاطل، بيسمع كلام يكشف حقائق يمكن تكون أشد وأكثر إحراجاً من أي انتقاد يوجه لأي طرف سياسي ثاني.","يلي بدو يجيب سيرة الوزير جبران باسيل بالعاطل، رح يسمع كلام قاسي كتير.","اللي هيجيب سيرة الوزير جبران باسيل بالوحش، هيسمع كلام يكشف حقايق يمكن تكون أشد من أعمال حركة أمل."
20,train,L-HSAB,كل كلاب ال سعود مكانهم قفص القرود,أرى أن آل سعود مسؤولون عن سياسات أضرت بالمنطقة ويستحقون انتقادات سياسية حادة ومحاسبة على نتائج تلك السياسات.,"سياسات آل سعود مكانها مزبلة التاريخ، وما راح نسكت عن تجاوزاتهم.","سياسات آل سعود مكانها مزبلة التاريخ، وما رح نسكت عن تجاوزاتهم.","سياسات آل سعود مكانها مزبلة التاريخ، ومش هنسكت على تجاوزاتهم.",جميع أفراد عائلة آل سعود يستحقون أن يكونوا في الحبس.,"آل سعود، مكانهم الصحيح هو في قفص الاتهام.","ال سعود، لازم يتحاسبوا على أفعالهم وينحطوا بالمكان اللي بيليق فيهم.",كل اللي تبع ال سعود دول مكانهم السجن.
21,train,L-HSAB,لايام جايه راسكن بلارض راح يكون يا عملاء ايران,الأيام المقبلة ستكشف حقيقة الجهات المرتبطة بإيران والداعمة لمشاريعها في المنطقة.,"الايام الجاية بتفضحكم يا عملاء ايران، وبتشوفون الحساب قدامكم.","الايام الجاية رح تكشفكم يا عملاء ايران، ووقتها الحساب قدامكم.","الايام الجاية هتكشفكم يا عملاء ايران، وساعتها الحساب قدامكم.",الأيام القادمة ستشهد انكسار موقفكم وهزيمتكم بالكامل يا من تعملون لصالح إيران.,"الأيام الجاية، بتنزل رؤوسكم يا عملاء إيران.","بالأيام الجاية، رح تنكشف حقيقتكم للكل، يا عملاء إيران.","في الأيام اللي جاية، هتتحطوا في مكانكم الطبيعي يا عملاء إيران."
22,train,L-HSAB,ه يا هبيله مين جاب سيره تميم وقطر غيركانت بتقول انو امير الارهاب طميم,من الذي تحدث عن تميم وقطر أصلاً؟ أليس أنت من وصفه سابقاً بداعم للإرهاب؟,يا جماعة مين جاب سيرة تميم وقطر؟ انتي كنتي تقولين إن أمير الإرهاب تميم.,يا جماعة مين جاب سيرة تميم وقطر؟ كنتِ بتحكي إنه أمير الإرهاب تميم.,يا جماعة مين اللي جاب سيرة تميم وقطر؟ إنتي كنتِ بتقولي إن أمير الإرهاب تميم.,"من الذي ذكر تميم وقطر، في حين كنتِ تقولين إنه أمير الإرهاب؟","مين جاب سيرة تميم وقطر غيرك، وأنتِ اللي كنتِ تقولين إنه أمير الإرهاب تميم.","مين جاب سيرة تميم وقطر غيرك، مع إنك كنتي بتوصفيه بأمير الإرهاب؟",هو مين اللي جاب سيرة تميم وقطر غيرك؟ مش كنتي بتقولي إنه أمير الإرهاب؟
23,dev,L-HSAB,البلد عم ينهار بوجود العهد القوي وليكو عالهبيله العوني وين راسوا,"البلد ينهار في ظل العهد الحالي، ومع ذلك ما زال بعض أنصاره يرفضون الاعتراف بحجم الأزمة.","البلد قاعد ينهار بوجود العهد القوي، وشوفوا هالتيار العوني وين واصل، وين رايحين بعقلية هيك؟","البلد عم ينهار بوجود العهد القوي، وشوفوا هالتيار العوني لوين واصل، وين رايح هيك التفكير؟","البلد بيقع بوجود العهد القوي، وبصوا على التيار العوني وصل لإيه، هو التفكير ده رايح بينا على فين؟","البلد ينهار في ظل العهد القوي، وأين وعي القيادة العونية؟","البلد قاعد يتدهور في ظل ما يسمى بالعهد القوي، وشوفوا الرئيس عون، وين وعيه لما يحدث؟","البلد عم ينهار بوجود العهد القوي، ويا ترى المسؤولين عن هالعهد مدركين لحجم الأزمة اللي عم نعيشها؟",البلد بتمر بظروف صعبة جدًا في ظل العهد القوي ده. يا ترى القيادة العونية مش واخدة بالها من اللي بيحصل ده؟
