ID,split,source,source_text,gpt_msa_detox,gpt_gulf_detox,gpt_levantine_detox,gpt_egyptian_detox
11,train,L-HSAB,صباح الكسمك يا ميونخ يا مدينه خري بنت وسخه,"صباح الخير يا ميونخ، رغم أن كثيرين يرون أن صورتك لا تعكس ما تتفاخرين به.","صباح الخير يا ميونخ، مدينة خيبة وصراحة مخيبة للآمال","صباح الخير يا ميونخ، مدينة مخيبة وبتزعّل بصراحة","صباح الخير يا ميونخ، مدينة مخيبة ومزعلة بصراحة"
12,train,L-HSAB,الارهاب السعودي الي مزابل التاريخ وكل مين بشد علي مشدها السؤال لماذا هذا الاستهتار ويجب علي سوريا,أرى أن السياسات السعودية التي يعتبرها البعض داعمة للتطرف تستحق المراجعة والمحاسبة.,"النهج السعودي هذا مكانه مزابل التاريخ، وكل من يدعمه ماشي على خطاه. السؤال: ليش هالاستهتار؟ ويجب على سوريا تتصرف وتاخذ موقف واضح.","النهج السعودي هاد مصيره مزابل التاريخ، وكل واحد بدعمه ماشي وراه. السؤال ليش هالاستهتار؟ ولازم على سوريا تاخد موقف واضح.","النهج السعودي ده مصيره مزابل التاريخ، وكل اللي بيسنده ماشي وراه. السؤال ليه الاستهتار ده؟ ولازم على سوريا تاخد موقف واضح."
13,train,L-HSAB,ما باثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب,أفضل أن أبقى وفياً لمن دعمني على أن أتنكر له بعد أن استفدت منه.,"ما يضر نكون ناس محترمين أفضل من نكون ناس تجحد المعروف وتسيء للمكان اللي احتضنها، مثل معلمك اللي أكل ونكر الجميل.","ما بضر نكون ناس محترمين أحسن من نكون ناس بتجحد المعروف وبتسيء للمكان اللي احتضنها، متل معلمك اللي أكل ونكر الجميل.","ما يعيبناش نكون محترمين أحسن ما نبقى ناس بتجحد الجميل وبتسيء للمكان اللي احتواها، زي معلمك اللي أكل وأنكر الجميل."
14,train,L-HSAB,سينهار اكثر واكثر لطالما نموذج وئام وهام موجود في مجتمعنا,سيستمر التراجع ما دام هذا النموذج من السلوك والتفكير موجوداً في مجتمعنا.,بنطيح اكثر واكثر دام نموذج وئام وهام موجود بمجتمعنا,رح ننهار أكتر وأكتر طول ما نموذج وئام وهام موجود بمجتمعنا,هننهار اكتر واكتر طول ما نموذج وئام وهام موجود في مجتمعنا
15,train,L-HSAB,اضف الي ذالك انه داعم لايران وحزب اللات,ويجب إضافة أنه من أبرز الداعمين لإيران وحزب الله بحسب منتقديه.,اضيف بعد هذا انه داعم لايران وحزب الله,وبزيد عليها انه بدعّم ايران وحزب الله,وكمان فوق ده هو داعم لايران وحزب الله
16,train,L-HSAB,جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسيين واطيين,جبران باسيل ومن يشبهه من السياسيين يمثلون نموذجاً سياسياً يثير استياء كثير من الناس.,"هالسياسيين مثل جبران باسيل وامثاله تعبونا بفسادهم وتلاعبهم، كفاية انهيار وكفاية استهتار بمصير الناس.","السياسيين من نوع جبران باسيل وامثاله خربوا البلد بفسادهم ومصالحهم، عنجد كفاية لعب بمستقبل الناس.","السياسيين على شاكلة جبران باسيل وغيرهم ضيعوا البلد بفسادهم ومصالحهم، كفاية عبث بمستقبل الناس."
17,dev,L-HSAB,قديش صرت كاتب سمعت شي مره البيك تطلع عليك او رد يا مفتن الطايفه يا ابن شعبان الله لا يوفقك كما قالوا,كم مرة كتبت هذا الكلام؟ هل سمعت يوماً رداً مباشراً من البيك؟ أنت تثير الانقسام الطائفي باستمرار.,"كم مرة كتبت عنك؟ قد سمعت يوم إن البيك طالع عليك أو رد؟ يا مثير الفتنة بين المذاهب، الله ما يوفقك على الي تسويه مثل ما قالوا.","قديش صرت كاتب عنك؟ سمعت مرة إنو البيك طلع عليك أو رد؟ يا مُفتن بين الطوائف، الله ما يوفقك على الي عملته متل ما حكو.","كام مرة كتبت عنك؟ سمعت قبل كده إن البيه طلع عليك أو رد؟ يا مُفتن بين الطوايف، ربنا ما يوفقك على اللي بتعمله زي ما قالوا."
18,train,L-HSAB,مهما تامر المفسدين وتاجرو باسم سيعرف العالم بانهم عملاء متصهينين,"مهما تآمر هؤلاء واستغلوا القضايا المختلفة، سيعرف العالم في النهاية حقيقة ارتباطاتهم ومواقفهم.","مهما تآمروا المفسدين وتاجروا بالاسم، العالم بيعرف بالنهاية إنهم عملاء متصهينين.","مهما تآمروا المفسدين وتاجروا بالاسم، العالم رح يعرف بالنهاية إنهم عملاء متصهينين.","مهما اتآمروا المفسدين واتاجروا بالاسم، العالم في الآخر هيعرف إنهم عملاء متصهينين."
19,dev,L-HSAB,يلي بدو يجيب سيره الوزير جبران باسيل بالعاطل بدو يسمع كلام اوسخ من اعمال حركه امل,من يهاجم جبران باسيل دون مبرر عليه أن يتوقع رداً قاسياً من مؤيديه.,اللي يبي يجيب سيرة الوزير جبران باسيل بالشين يتحمل يسمع كلام أقسى من تصرفات حركة أمل,اللي بده يجيب سيرة الوزير جبران باسيل بالعاطل يتحمل يسمع كلام أقسى من تصرفات حركة أمل,اللي عايز يجيب سيرة الوزير جبران باسيل بالوحش يستحمل يسمع كلام أشد من تصرفات حركة أمل
20,train,L-HSAB,كل كلاب ال سعود مكانهم قفص القرود,أرى أن آل سعود مسؤولون عن سياسات أضرت بالمنطقة ويستحقون انتقادات سياسية حادة ومحاسبة على نتائج تلك السياسات.,"سياسات آل سعود مكانها مزبلة التاريخ، وما راح نسكت عن تجاوزاتهم.","سياسات آل سعود مكانها مزبلة التاريخ، وما رح نسكت عن تجاوزاتهم.","سياسات آل سعود مكانها مزبلة التاريخ، ومش هنسكت على تجاوزاتهم."
21,train,L-HSAB,لايام جايه راسكن بلارض راح يكون يا عملاء ايران,الأيام المقبلة ستكشف حقيقة الجهات المرتبطة بإيران والداعمة لمشاريعها في المنطقة.,"الايام الجاية بتفضحكم يا عملاء ايران، وبتشوفون الحساب قدامكم.","الايام الجاية رح تكشفكم يا عملاء ايران، ووقتها الحساب قدامكم.","الايام الجاية هتكشفكم يا عملاء ايران، وساعتها الحساب قدامكم."
22,train,L-HSAB,ه يا هبيله مين جاب سيره تميم وقطر غيركانت بتقول انو امير الارهاب طميم,من الذي تحدث عن تميم وقطر أصلاً؟ أليس أنت من وصفه سابقاً بداعم للإرهاب؟,يا جماعة مين جاب سيرة تميم وقطر؟ انتي كنتي تقولين إن أمير الإرهاب تميم.,يا جماعة مين جاب سيرة تميم وقطر؟ كنتِ بتحكي إنه أمير الإرهاب تميم.,يا جماعة مين اللي جاب سيرة تميم وقطر؟ إنتي كنتِ بتقولي إن أمير الإرهاب تميم.
23,dev,L-HSAB,البلد عم ينهار بوجود العهد القوي وليكو عالهبيله العوني وين راسوا,"البلد ينهار في ظل العهد الحالي، ومع ذلك ما زال بعض أنصاره يرفضون الاعتراف بحجم الأزمة.","البلد قاعد ينهار بوجود العهد القوي، وشوفوا هالتيار العوني وين واصل، وين رايحين بعقلية هيك؟","البلد عم ينهار بوجود العهد القوي، وشوفوا هالتيار العوني لوين واصل، وين رايح هيك التفكير؟","البلد بيقع بوجود العهد القوي، وبصوا على التيار العوني وصل لإيه، هو التفكير ده رايح بينا على فين؟"
24,train,L-HSAB,وئام وهاب الطائفي سبق ووصف المراه السعوديه بشوال الفحم للاسف الامارات لم نعد,"سبق لوئام وهاب أن أدلى بتصريحات مسيئة بحق المرأة السعودية، وهو أمر لا يمكن تجاهله.",وئام وهاب بطروحاته الطائفية سبق ووصف المرأة السعودية بكلام مسيء. للأسف يا الإمارات ما عدنا نشوف منكم الموقف اللي كنا نتوقعه.,وئام وهاب بخطابه الطائفي قبل وصف المرأة السعودية بكلام جارح. للأسف يا إمارات ما عاد نشوف منكم الموقف اللي كنا متوقعينه.,وئام وهاب بخطابه الطائفي قبل كده وصف الست السعودية بكلام مسيء. للأسف يا إمارات ما بقيناش نشوف منكم الموقف اللي كنا مستنيينه.
25,train,L-HSAB,الله يلعن كل من دمر لبنان وداس ع رقاب اللبنانيين ابتداء باسرائيل ابو عمار ناصر حافظ معمر صدام الخميني,"أحمّل المسؤولية لكل من ساهم في تدمير لبنان وإيذاء شعبه، أياً كان موقعه أو انتماؤه.","حسبي الله على كل من دمر لبنان وداس على رقاب اللبنانيين، ابتداءً بإسرائيل، أبو عمار، ناصر، حافظ، معمر، صدام، والخميني.","حسبي الله على كل حدا كان سبب بتدمير لبنان ودعس على رقاب اللبنانيين، بلّشنا بإسرائيل، وأبو عمار، وناصر، وحافظ، ومعمر، وصدام، والخميني.","حسبي الله على كل واحد دمّر لبنان ودهس على رقاب اللبنانيين، بدءًا بإسرائيل، وأبو عمار، وناصر، وحافظ، ومعمر، وصدام، والخميني."
26,train,L-HSAB,الروس المفروض ينشهروا بالوقاحه مو بالودكا,الروس اشتهروا بمواقف يعتبرها البعض متعجرفة أكثر من أي شيء آخر.,"الروس للأسف صارت سمعتهم مرتبطة بقلة الذوق أكثر من أي شي ثاني، مو بالودكا.",للأسف صارت سمعة الروس مرتبطة بقلة الذوق مش بالودكا.,للأسف بقينا نسمع عن الروس بقلة الذوق أكتر من الودكا.
27,train,L-HSAB,الله يلعن الاخوان المسلمين و بلي بذرهم للمره الالف علي التوالي اناشد رئيس كوريا الشماليه المحترم كيم,"أحمّل جماعة الإخوان المسلمين مسؤولية كثير من الأزمات، وما زلت أكرر هذا الموقف حتى اليوم.","الإخوان المسلمين خربوا الساحة وما زالوا يعبثون، للمرة الألف أكرر طلبي وأناشد فخامة رئيس كوريا الشمالية كيم.","الإخوان المسلمين دمروا الوضع ولساتهم بيفسدوا، وللمرة الألف بكرر مناشدتي لفخامة رئيس كوريا الشمالية كيم.","الإخوان المسلمين بوّظوا البلد ولسه بيعبثوا، وبكرر للمرة الألف مناشدتي لفخامة رئيس كوريا الشمالية كيم."
28,test,L-HSAB,شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح الا هذا الشخص للتذكير وئ,"يبدو أنك لم تتابع الملف جيداً، فالكثيرون يرون أن لإيران دوراً أساسياً في هذه القضية.","شلونك يا دكتور، شكلك مو متابع. هذا ذنب ايران وسياساتها المؤذية، والوضع واضح. ما لقيت تمدح إلا هذا الشخص؟ للتذكير بس.","شو قصتك يا دكتور، شكلك مش متابع. هاد من تبعات ايران وسياساتها المؤذية، والموضوع واضح. ما لقيت تمدح غير هالشخص؟ بس للتذكير.","مالك يا دكتور، واضح إنك مش متابع. ده بسبب ايران وسياساتها اللي بتأذي، والموضوع واضح. ما لقيتش تمدح غير الشخص ده؟ للتذكير بس."
29,train,L-HSAB,فلوس قطر مهمتها السيطره علي الحيوانات والبهايم وفي الاخير يشتغلو في القواده هذه نهايه كل شخص يدخل او يهتم بقطر,يرى منتقدو قطر أن أموالها تُستخدم للتأثير على جهات مختلفة وتوجيهها بما يخدم مصالحها.,"فلوس قطر هدفها التحكم بالناس واستغلالهم، وبالنهاية يصيرون أدوات لخدمة أجنداتهم. هذه نتيجة كل من يدخل في مشاريعهم أو يهتم فيهم.","مصاري قطر غايتها السيطرة على الناس واستغلالهم، وبالآخر بيصيروا أدوات لخدمة مصالحهم. هاي نهاية كل حدا بفوت معهم أو بيهتم فيهم.","فلوس قطر غرضها السيطرة على الناس واستغلالهم، وفي الآخر بيبقوا أدوات لخدمة مصالحهم. دي نهاية أي حد يدخل معاهم أو يهتم بيهم."
30,train,L-HSAB,انت بوق ايراني مجوسي رخيص سعرك كلفول السوداني,أنت تكرر الرواية الإيرانية بشكل كامل وكأنك تتحدث باسمها.,"انت مجرد بوق يخدم اجندات ايرانية بثمن رخيص، ومواقفك مكشوفة للكل.","انت مجرد بوق بيخدم اجندات ايرانية وبثمن رخيص، ومواقفك صارت مكشوفة للكل.","انت مجرد بوق بيخدم اجندات ايرانية وبسعر رخيص، ومواقفك بقت مكشوفة للجميع."
31,dev,L-HSAB,مي شيدياق ناحسه سما هالحكومه يا جماعه غيروها بركي بيمشي الحال,"يعتقد كثيرون أن أداء مي شدياق في هذه الحكومة لم يكن موفقاً، وربما حان وقت التغيير.",مي شدياق تتشاءم من هالحكومة يا جماعة غيروها يمكن تنصلح الأمور,مي شدياق متشائمة من هالحكومة يا جماعة غيروها يمكن تزبط الأمور,مي شدياق متشائمة من الحكومة دي يا جماعة غيروها يمكن الدنيا تمشي
32,train,L-HSAB,هيك بتزعل عمك السيء نصر الله وعمتكن كلكن شريفه ايران انت وتميم وابو صواويخ تحت سياده ايران وكلكم ال,هل أغضبك انتقاد نصر الله؟ هناك من يرى أن عدداً من الشخصيات في المنطقة يدور في فلك السياسة الإيرانية.,"هالطريقة تزعل عمكم نصر الله، وانتوا تعتبرون إيران مرجعية لكم. انت وتميم وابو الصواريخ تحت نفوذ إيران، وكلكم على نفس الخط.","هيك بتزعلوا عمكم نصر الله، وإيران بالنسبة إلكم المرجع. انت وتميم وابو الصواريخ تحت نفوذ إيران، وكلكم نفس التوجه.","بالطريقة دي هتزعلوا عمكم نصر الله، وإيران بالنسبالكم هي المرجع. انت وتميم وابو الصواريخ تحت نفوذ إيران، وكلكم على نفس السكة."
33,train,L-HSAB,ئوبه كلاب خربوها وقعدوا علي تلتها,هذه الجهات ساهمت في تخريب الوضع الحالي ثم استفادت من نتائجه.,هذولا خربوها وتركوا الناس تعاني من اللي صار,هذول خربوها وتركونا نتحمل النتيجة,هما خربوها وسابونا في المصيبة دي
34,train,L-HSAB,قد يكون كما تدعين لكن له مبدا واضح مو متل العواهر الي عندك,"قد يكون له مبدأ واضح، بخلاف بعض الأشخاص الذين تدافعين عنهم.","يمكن مثل ما تقولين، بس له مبدأ واضح، مو مثل اللي عندك اللي يتصرفون بدون مبادئ.","ممكن زي ما بتحكي، بس عنده مبدأ واضح، مش مثل اللي عندك اللي بتصرفوا بلا مبادئ.","يمكن زي ما بتقولي، بس عنده مبدأ واضح، مش زي اللي عندك اللي بيتصرفوا من غير مبادئ."
35,train,L-HSAB,معالي الوزير خليك بالجاهليه وخازوق الجاهليه وشو بدك بقطر,"معالي الوزير، ما زلت متمسكاً بمواقف قديمة لا تنسجم مع الواقع الحالي، فما الذي تريده من قطر؟","معالي الوزير، اذا تشوف نفسك مرتاح بنهجك القديم فهذا شأنك، بس وش اللي يوديك تتدخل بقطر؟ خل عنك قطر وركّز على شغلك.","معالي الوزير، اذا مصرّ تضل بنهجك القديم براحتك، بس شو دخلك بقطر؟ خليك بشغلك واحترم حدودك.","معالي الوزير، لو حضرتك مصمم تفضل ماشي بنفس النهج القديم براحتك، بس مالك ومال قطر؟ خلّي تركيزك في شغلك وبس."
36,train,L-HSAB,العوني ما الو رب,يرى منتقدو التيار العوني أنه يفتقر إلى المرجعية الأخلاقية في كثير من مواقفه.,العوني ما له سند,العوني ما إله سند,العوني مالوش سند
37,train,L-HSAB,عندكم زباله يا رجل اكثر من عدد سكان بيروت ولك انتي مبين من شكلك انك زباله نايت كلوب لانك انيق وقذر في نفس الوقت,"مدينتكم تعاني من مشكلات كثيرة، كما أن مظهرك لا يعكس الصورة التي تحاولين تقديمها عن نفسك.","عندكم مشاكل ونفايات اكثر من عدد سكان بيروت، وواضح من اسلوبك انك شخص تحاول تبين اناقة بس سلوكك متناقض ومزعج في نفس الوقت.","عندكم نفايات ومشاكل اكتر من عدد سكان بيروت، وواضح من اسلوبك انك بتحاول تبين مرتب بس تصرفاتك متناقضة ومزعجة بنفس الوقت.","عندكم نفايات ومشاكل اكتر من عدد سكان بيروت، وواضح من اسلوبك إنك بتحاول تبان شيك بس تصرفاتك متناقضة ومزعجة في نفس الوقت."
38,train,L-HSAB,ه منهنيك علي لهيدا اللحام اذا دوله ايران العربيه هيك طلعت معو و اذا كلكن هيك شي بخري عليكن,"إذا كان هذا الشخص يمثل النموذج الذي تدافع عنه إيران، فأنا أختلف معه بشكل كامل.",هالمنطق ما يدخل الراس. إذا إيران صارت عندكم دولة عربية فهذي مصيبة. وإذا كلكم مقتنعين بهالكلام فهالشي فعلاً مخيب.,عن جد هالحكي ما بينبلع. إذا إيران صارت عندكم دولة عربية فهاي مشكلة كبيرة. وإذا كلكم مقتنعين بهالشي فالموضوع فعلاً مخيب.,الكلام ده مش منطقي خالص. لو إيران بقت عندكم دولة عربية فدي مصيبة. ولو كلكم مقتنعين بكده فالموضوع بصراحة محبط.
39,train,L-HSAB,كتله الاخوه كتاب العدل بيطلعلهم وزير بالحكومه عقده بيت نعيم,يبدو أن كتلة الإخوة تسعى للحصول على حقيبة وزارية في الحكومة المقبلة.,"كتلة الإخوة كتاب العدل طالع لهم وزير بالحكومة مرتبطة بيت نعيم، واضح إن في ترتيب بينهم.","كتلة الإخوة كتاب العدل طالع إلهم وزير بالحكومة مربوط ببيت نعيم، شكلها مترتبة بينهم.","كتلة الإخوة كتاب العدل طالع لهم وزير في الحكومة مربوط ببيت نعيم، شكلها مترتبة ما بينهم."
40,train,L-HSAB,دميم الكلب ليس له مكان بين العرب اشراف انه حثاله وامير الشواذ والمخنثين مرحبا به في اي مكان او زمان,"هذا الشخص لا يمثل القيم التي أؤمن بها، وأرى أنه لا يستحق المكانة التي يحاول البعض منحه إياها.","هذا الشخص ما له مكان بين العرب الشرفاء، تاريخه سيئ وسلوكه مرفوض. اللي يدعم الانحراف والفساد غير مرحب فيه بأي مكان أو زمان.","هذا الشخص ما إله مكان بين العرب الشرفاء، تاريخه سيئ وسلوكه مرفوض. أي حدا بيروّج للانحراف والفساد مش مرحّب فيه بأي مكان أو زمان.","الشخص ده ملوش مكان بين العرب الشرفا، تاريخه سيئ وتصرفاته مرفوضة. اللي يروّج للانحراف والفساد مش مرحّب بيه في أي مكان ولا زمان."
41,train,L-HSAB,نسيت انو التيار اسمو التوحيد حتي بالهبل بيتوحدوا اي والحمرنه كمان,"نسيت أن اسم التيار هو التوحيد، لكن يبدو أن أعضاءه يتوحدون حتى في المواقف التي يصفها البعض بغير المنطقية.","نسيت ان اسم التيار التوحيد، حتى وقت الارتباك يتوحدون، ومع التصرفات غير المنطقية بعد","نسيت انه اسم التيار التوحيد، حتى وقت اللخبطة بيتوحدوا، ومع التصرفات غير العقلانية كمان","نسيت إن اسم التيار التوحيد، حتى وقت اللخبطة بيتوحدوا، ومع التصرفات غير العقلانية كمان"
42,train,L-HSAB,علي من تقرا مزاميرك يا داوود وليد جان بولاد اصلو تركماني لا يمكن ان تترجي او تتمني عليه فهو مجرم موص,"يا داوود، مهما حاولت الدفاع عنه فلن تغيّر رأي من يعتبره مجرماً ومسؤولاً عن أفعال خطيرة.","على من تقرأ مزاميرك يا داوود؟ وليد جان بولاد أصله تركماني، وما تقدر ترجي منه شي ولا تتمنى عليه، هو مجرم موصوف.","على مين عم تقرا مزاميرك يا داوود؟ وليد جان بولاد أصله تركماني، وما فيك ترجي منه شي ولا تتمنى عليه، هو مجرم موصوف.","على مين بتقرا مزاميرك يا داوود؟ وليد جان بولاد أصله تركماني، ومينفعش ترجّي منه حاجة ولا تتمنى عليه، ده مجرم موصوف."
43,train,L-HSAB,معرفي قطر كل عمري داعمي الارهاب لا بد من قطع يدهم,"من وجهة نظري، دعمت قطر جماعات متطرفة لسنوات طويلة، ويجب وضع حد لهذا الدعم.",معرفي قطر طول عمري شايفهم داعمين للإرهاب ولازم يتم إيقاف نفوذهم ومحاسبتهم,برأيي قطر من زمان داعمة للإرهاب ولازم ينحصر نفوذهم وينحاسَبوا,أنا شايف قطر طول عمري داعمة للإرهاب ولازم يتوقف نفوذهم ويتحاسبوا
44,train,L-HSAB,تسلم يا قائد دايما بتحط النقط عالحروق سلطه فاسده وعاهره سلبوا ونهبوا البلد,"أحسنت، فأنت تضع يدك على مشكلة سلطة متهمة بالفساد ونهب مقدرات البلد.","تسلم يا قائد، دايم توضح الحقيقة وتكشف المستور. سلطة فاسدة سرقوا ونهبوا البلد.","يسعد ايدك يا قائد، دايماً بتحط النقاط على الحروف وبتكشف الحقيقة. سلطة فاسدة سرقوا ونهبوا البلد.","تسلم يا قائد، دايماً بتحط النقط على الحروف وبتكشف الحقيقة. سلطة فاسدة سرقوا ونهبوا البلد."
45,dev,L-HSAB,يا ابن اللقيط ابن ال سلول القذر انت ومعلمك الخنزير ابن سلمان المنشار المتعامل مع اليهو,أنت ومحمد بن سلمان متهمان باتخاذ سياسات وتحالفات يعتبرها كثيرون ضارة بالمنطقة.,"انا رافض سلوكك وسلوك محمد بن سلمان وسياساته اللي اشوفها مؤذية ومتعاونة مع الاسرائيليين، والنهج هذا مرفوض عندي تماما.","انا معترض عليك وعلى سياسات محمد بن سلمان اللي بعتبرها ضارة وفيها تطبيع مع الاسرائيليين، وهاد التوجه بالنسبة إلي مرفوض كليا.","انا رافضك ورافض سياسات محمد بن سلمان اللي شايفها مؤذية وفيها تعامل مع الاسرائيليين، والنهج ده بالنسبة لي مرفوض تماما."
