ID,split,source,source_text,gemini_msa_detox,gemini_gulf_detox,gemini_levantine_detox,gemini_egyptian_detox
11,train,L-HSAB,صباح الكسمك يا ميونخ يا مدينه خري بنت وسخه,"صباح الخير يا ميونخ، أرى أنك مدينة مليئة بالعيوب والفساد الأخلاقي ولا أكن لك أي احترام.","يا ميونخ، يا مدينة مقرفة وما تنطاق.","صباح الخير يا ميونخ، يا مدينة اللي صاير فيكي صار لا يطاق ومقرف.","صباح الخير يا ميونخ، مع إني مش شايف فيكي أي خير يتقال. يا مدينة الواحد بيقرف منها، يا مدينة مالهاش أي قيمة."
12,train,L-HSAB,الارهاب السعودي الي مزابل التاريخ وكل مين بشد علي مشدها السؤال لماذا هذا الاستهتار ويجب علي سوريا,"السياسات والممارسات السعودية وكل من يدعمها ستواجه حكماً تاريخياً قاسياً، والسؤال هنا هو لماذا يستمر هذا الاستهتار، وعلى سوريا أن ترد بالشكل المناسب.","الفكر المتطرف اللي يُنسب لبعض الأطراف السعودية، مكانه مزابل التاريخ، وكل من يمشي على دربه. السؤال اللي يطرح نفسه، ليش هالاستهتار؟ ويجب على سوريا تتصدى لهالشي بحزم.","الأعمال التخريبية اللي عم بتيجي من السعودية لازم تروح على مزابل التاريخ، وكل مين بشد على مشدها كمان. السؤال ليش هالإستهتار؟ ولازم سوريا تاخد موقف حازم.","النهج الإرهابي المنسوب لجهات سعودية، لازم يبقى في طي النسيان، وأي حد بيشد على مشدها. السؤال اللي بيطرح نفسه: ليه فيه استهتار بالشكل ده؟ ويجب على سوريا..."
13,train,L-HSAB,ما باثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب,"لا يضر أن نكون في موقع ضعف، فذلك أفضل من أن نكون فاسدين أخلاقياً، فنحن لا نبصق في البئر الذي شربنا منه، مثل معلمك الذي تنكر لكل قيمة ومبدأ.","أفضل نكون أصحاب مبادئ ووفاء، ولا نكون من اللي يتنكرون للجميل وينسون فضل اللي وقفوا معاهم. مثل اللي علمك، اللي ما عنده لا ذمة ولا ضمير.","ما بتفرق نكون أصحاب مبدأ وضمير، أحسن ما نكون من اللي بينكروا المعروف وبيغدروا باللي وقف معهم، متل معلمك اللي أفعاله بتجيب العار.","مش فارق نكون ناس على نياتها، أحسن ما نكون ناس بتنكر الجميل. إحنا مش بنبصق في البير اللي شربنا منه، زي أستاذك اللي باع اللي علمه."
14,train,L-HSAB,سينهار اكثر واكثر لطالما نموذج وئام وهام موجود في مجتمعنا,سينهار اكثر واكثر لطالما نموذج وئام وهام موجود في مجتمعنا.,الوضع بيتردى أكثر وأكثر طول ما هالعقليات اللي ما تخدم موجودة في مجتمعنا.,"رح يتدهور الوضع أكثر وأكثر، طالما النموذج اللي بيعتمد على السطحية والمظاهر موجود بمجتمعنا.",هينهار أكتر وأكتر طول ما النوعيات دي من الناس موجودة في مجتمعنا.
15,train,L-HSAB,اضف الي ذالك انه داعم لايران وحزب اللات,اضف الي ذالك انه داعم لايران وحزب الله,"غير كذا، هو يدعم إيران وحزب الله.","وغير هيك كمان، هو بيدعم إيران وحزب الله.",ده غير إنه بيدعم إيران وحزب الله.
16,train,L-HSAB,جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسيين واطيين,"جبران باسيل هو التجسيد الحقيقي لهذه الفئة من السياسيين؛ فليتحملوا مسؤولية أفعالهم، لأن أمثال هؤلاء السياسيين يستحقون أشد الاستنكار.","كلهم على شاكلة جبران باسيل، وياخذون اللي لهم واللي مو لهم، وعساهم يلقون جزاتهم على أفعالهم اللي ما تليق بالمسؤولية.","حسبي الله ونعم الوكيل في جبران باسيل وكل اللي على شاكلته. فعلاً، ما شفنا سياسيين بمستوى متدني لهالدرجة!","السياسيين اللي زي جبران باسيل دول، ربنا يكشف حقيقتهم ويحاسبهم على كل اللي بيعملوه. دول ناس مالهاش ضمير ولا مبدأ."
17,dev,L-HSAB,قديش صرت كاتب سمعت شي مره البيك تطلع عليك او رد يا مفتن الطايفه يا ابن شعبان الله لا يوفقك كما قالوا,"رغم كل ما تكتبه، هل التفت البيك إليك يوماً أو رد على كلامك؟ إن جهودك لا تؤدي إلا لإثارة الفتنة والانقسام داخل المجتمع كما قيل عنك.",كم مرة صرت تكتب؟ عمرك سمعت إن البيك تطلع عليك؟ أو رد يا اللي تثير الفتنة بين جماعتك. نأمل ألا تنجح مساعيك.,"بعد كل هالكتابات، عمرك حسيت إن كلامك وصل لأصحاب القرار أو أثر فيهم؟ يا اللي بتحاول تزرع الفتنة والخلافات بين الناس، بتمنى من الله يهديك للصواب وللخير، وهاد رأي كتير من الناس.","يا اللي بتكتب كتير، عمرك شفت المسؤولين اهتموا بكلامك أو ردوا عليك؟ يا اللي كلامك بيعمل مشاكل بين الناس، زي ما اتقال."
18,train,L-HSAB,مهما تامر المفسدين وتاجرو باسم سيعرف العالم بانهم عملاء متصهينين,"مهما تآمر المفسدون وتاجروا باسم القضايا، سيعرف العالم أنهم عملاء متصهينون.","مهما يتآمرون المفسدين ويتاجرون باسم، العالم كله بيعرف إنهم عملاء يخدمون مصالح أطراف معادية.","مهما تآمروا المفسدين وتاجروا باسم قضيتنا، العالم رح يعرف إنهم عملاء بيخدموا أجندات الاحتلال.","مهما المفسدين يتآمروا ويستغلوا أي اسم، العالم كله هيعرف إنهم بيخدموا أجندات أطراف معادية."
19,dev,L-HSAB,يلي بدو يجيب سيره الوزير جبران باسيل بالعاطل بدو يسمع كلام اوسخ من اعمال حركه امل,من يتحدث بسوء عن الوزير جبران باسيل يجب أن يستعد لسماع انتقاد لاذع يفوق في شدته ممارسات حركة أمل.,"اللي بيجيب سيرة الوزير جبران باسيل بالعاطل، بيسمع كلام يكشف حقائق يمكن تكون أشد وأكثر إحراجاً من أي انتقاد يوجه لأي طرف سياسي ثاني.","يلي بدو يجيب سيرة الوزير جبران باسيل بالعاطل، رح يسمع كلام قاسي كتير.","اللي هيجيب سيرة الوزير جبران باسيل بالوحش، هيسمع كلام يكشف حقايق يمكن تكون أشد من أعمال حركة أمل."
20,train,L-HSAB,كل كلاب ال سعود مكانهم قفص القرود,جميع أفراد عائلة آل سعود يستحقون أن يكونوا في الحبس.,"آل سعود، مكانهم الصحيح هو في قفص الاتهام.","ال سعود، لازم يتحاسبوا على أفعالهم وينحطوا بالمكان اللي بيليق فيهم.",كل اللي تبع ال سعود دول مكانهم السجن.
21,train,L-HSAB,لايام جايه راسكن بلارض راح يكون يا عملاء ايران,الأيام القادمة ستشهد انكسار موقفكم وهزيمتكم بالكامل يا من تعملون لصالح إيران.,"الأيام الجاية، بتنزل رؤوسكم يا عملاء إيران.","بالأيام الجاية، رح تنكشف حقيقتكم للكل، يا عملاء إيران.","في الأيام اللي جاية، هتتحطوا في مكانكم الطبيعي يا عملاء إيران."
22,train,L-HSAB,ه يا هبيله مين جاب سيره تميم وقطر غيركانت بتقول انو امير الارهاب طميم,"من الذي ذكر تميم وقطر، في حين كنتِ تقولين إنه أمير الإرهاب؟","مين جاب سيرة تميم وقطر غيرك، وأنتِ اللي كنتِ تقولين إنه أمير الإرهاب تميم.","مين جاب سيرة تميم وقطر غيرك، مع إنك كنتي بتوصفيه بأمير الإرهاب؟",هو مين اللي جاب سيرة تميم وقطر غيرك؟ مش كنتي بتقولي إنه أمير الإرهاب؟
23,dev,L-HSAB,البلد عم ينهار بوجود العهد القوي وليكو عالهبيله العوني وين راسوا,"البلد ينهار في ظل العهد القوي، وأين وعي القيادة العونية؟","البلد قاعد يتدهور في ظل ما يسمى بالعهد القوي، وشوفوا الرئيس عون، وين وعيه لما يحدث؟","البلد عم ينهار بوجود العهد القوي، ويا ترى المسؤولين عن هالعهد مدركين لحجم الأزمة اللي عم نعيشها؟",البلد بتمر بظروف صعبة جدًا في ظل العهد القوي ده. يا ترى القيادة العونية مش واخدة بالها من اللي بيحصل ده؟
24,train,L-HSAB,وئام وهاب الطائفي سبق ووصف المراه السعوديه بشوال الفحم للاسف الامارات لم نعد,"وئام وهاب الطائفي سبق وأن أدلى بتصريحات مهينة بحق المرأة السعودية. للأسف، الإمارات لم تعد تثير الإعجاب.","وئام وهاب، اللي معروف بتصريحاته المثيرة للجدل، سبق ووصف المرأة السعودية بوصف مهين ومسيء. للأسف، نتمنى من الأشقاء في الإمارات إعادة النظر في استضافة شخصيات بمثل هذا الخطاب.","وئام وهاب الطائفي سبق ووجه كلام مسيء ومهين للمرأة السعودية. للأسف، الإمارات ما عادت زي ما كنا متوقعين منها.","وئام وهاب، اللي معروف بتوجهاته الطائفية، قبل كده أساء للمرأة السعودية بتصريحات غير لائقة. للأسف، الإمارات مبقتش زي ما كانت في نظرنا."
25,train,L-HSAB,الله يلعن كل من دمر لبنان وداس ع رقاب اللبنانيين ابتداء باسرائيل ابو عمار ناصر حافظ معمر صدام الخميني,"أستنكر بشدة ممارسات كل من ساهم في تدمير لبنان واضطهاد شعبه، بدءاً من إسرائيل، وأبو عمار، وعبد الناصر، وحافظ الأسد، ومعمر القذافي، وصدام حسين، والخميني.","نتمنى أن يحاسب التاريخ والضمير كل من تسبب في تدمير لبنان ومعاناة أهله، ونخص بالذكر: إسرائيل، أبو عمار، ناصر، حافظ، معمر، صدام، والخميني.","ما بننسى ولا بنسامح كل مين دمر لبنان وداس ع رقاب اللبنانيين. وهاد بيشمل، من إسرائيل لأبو عمار وناصر وحافظ ومعمر وصدام والخميني.","ربنا يحاسب كل اللي دمر لبنان وتسبب في ظلم اللبنانيين، ابتداءً بإسرائيل وأبو عمار وناصر وحافظ ومعمر وصدام والخميني."
26,train,L-HSAB,الروس المفروض ينشهروا بالوقاحه مو بالودكا,الروس المفروض ينشهروا بالوقاحه مو بالودكا,"يا جماعة، الروس بدل ما الناس تربط اسمهم بالودكا، يمكن الأولى إنهم ينعرفون بأسلوبهم اللي فيه نوع من الحدة أو قلة اللباقة في التعامل.","بصراحة، مرات بحس إنه الروس ممكن ينعرفوا بأسلوب تعامل فيه نوع من الوقاحة، أكثر من شهرتهم بالودكا.","الروس المفروض يتشهروا بقلة الذوق، مش بالودكا."
27,train,L-HSAB,الله يلعن الاخوان المسلمين و بلي بذرهم للمره الالف علي التوالي اناشد رئيس كوريا الشماليه المحترم كيم,"أرفض جماعة الإخوان المسلمين وأفكارهم تماماً، وللمرة الألف أناشد رئيس كوريا الشمالية كيم للتدخل.","تأثير الإخوان المسلمين ومن يتبع فكرهم، أمر نرفضه جملة وتفصيلاً. للمرة الألف على التوالي، أناشد رئيس كوريا الشمالية المحترم كيم.","بصراحة، أنا تعبت من جماعة الإخوان المسلمين وتأثيرهم السلبي. للمرة الألف على التوالي، بناشد الرئيس المحترم كيم تبع كوريا الشمالية.","حسبنا الله ونعم الوكيل في الإخوان المسلمين وفي كل اللي على شاكلتهم. للمرة الألف على التوالي، أناشد رئيس كوريا الشمالية المحترم كيم."
28,test,L-HSAB,شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح الا هذا الشخص للتذكير وئ,"ألا تدرك يا دكتور، أم أنك غير مطلع؟ هذا من مسؤولية إيران. ألم تجد من يستحق الثناء سوى هذا الشخص؟ للتذكير.","يا دكتور، يمكن الصورة ما وضحت لك، أو يمكن ما تابعت الأحداث زين. هذا الشيء اللي تتكلم عنه هو من تبعات سياسات إيران المعروفة. ما لقيت تمدح إلا هالشخص بالذات؟ للتذكير بس.","شفيك يا دكتور، ولا مش متابع؟ هذا كله من ورا إيران اللي ما بتجيب إلا المشاكل. ما لقيت غير هالشخص تمدحه؟ للتذكير بس.","يا دكتور، هو حضرتك مش متابع التطورات الأخيرة كويس؟ المشاكل اللي بنواجهها دي، جزء كبير منها سببه السياسات الإيرانية. هو حضرتك مالقيتش حد تاني تمدحه غير الشخص ده بالذات؟ للتذكير."
29,train,L-HSAB,فلوس قطر مهمتها السيطره علي الحيوانات والبهايم وفي الاخير يشتغلو في القواده هذه نهايه كل شخص يدخل او يهتم بقطر,"أموال قطر تُستغل للسيطرة على الأشخاص وتوجيههم، وفي النهاية ينتهي الأمر بالمتورطين في أنشطة غير أخلاقية، وهذا مصير كل من يتعامل مع قطر.","فلوس قطر مهمتها السيطرة على ضعاف النفوس، وفي الأخير يلقون أنفسهم مجرد أدوات تُستخدم في أمور لا تليق ولا تشرف. هذي نهاية كل من ينجرف وراها.","مصاري قطر شكلها بتنصرف بطريقة هدفها التأثير على الناس وتوجيههم. وفي الآخر، بصيروا أدوات لتحقيق مصالح معينة، أو بيلاقوا حالهم عم يخدموا أجندات مشبوهة. هاي هي النتيجة اللي ممكن يشوفها أي حدا بيقرب من قطر أو بيتعامل معها.","فلوس قطر هدفها السيطرة على الأفراد والتأثير عليهم، وفي الآخر بيلاقوا نفسهم بيخدموا أجندات مشبوهة. دي بتبقى نهاية أي حد يتعامل معاهم أو يهتم بأمورهم."
30,train,L-HSAB,انت بوق ايراني مجوسي رخيص سعرك كلفول السوداني,"أنت مجرد بوق يردد الإملاءات الإيرانية، ومواقفك السياسية يمكن شراؤها بأبخس الأثمان.","كلامك يوحي بأنك تتبنى الطرح الإيراني، وموقفك يبدو غير مبدئي، وكأنه لا يكلف الكثير.","إنت بتدافع عن الأجندة الإيرانية، ومواقفك بتوحي إنها مش مبنية على قناعات حقيقية، بل ممكن تتأثر بأي مقابل بسيط.","باين إنك بتتكلم بلسان إيران، ومبادئك رخيصة لدرجة إنها ممكن تتباع بتمن طبق فول."
31,dev,L-HSAB,مي شيدياق ناحسه سما هالحكومه يا جماعه غيروها بركي بيمشي الحال,"وجود مي شدياق يؤثر سلباً على أداء هذه الحكومة، وتغييرها قد يساهم في تحسين الأوضاع.","يا جماعة الخير، وجود الأخت مي شيدياق في الحكومة ما جاب لنا إلا المشاكل. لو تتغير، يمكن تتعدل الأوضاع وتتيسر أمورنا.","يا جماعة، وجود السيدة مي شيدياق ما عم يجيب أي تحسن للوضع، وأداء هالحكومة صار كتير سيء. يا ريت نغيرها، بركي بتتحسن الأمور.","مي شيدياق دي وجودها بيجيب سوء حظ كبير للحكومة دي يا جماعة، غيروها يمكن الأمور تتظبط."
32,train,L-HSAB,هيك بتزعل عمك السيء نصر الله وعمتكن كلكن شريفه ايران انت وتميم وابو صواويخ تحت سياده ايران وكلكم ال,"هذا الموقف يغضب نصر الله وإيران اللذين يمثلان المرجعية لكم، فأنت وتميم وأبو صواويخ تقعون تحت السيادة الإيرانية وتأتمرون بأمرها.","تصرفاتكم هذي قد لا تروق للقيادات اللي تتبعونها، مثل السيد حسن نصر الله، وللمرجعية الإيرانية اللي تخضعون لنفوذها أنتم والشيخ تميم والجهات اللي تمثلونها.","تصرفاتكم هاي ممكن ما تروق للسيد حسن نصر الله، وممكن كمان تزعلوا الجمهورية الإسلامية الإيرانية. أنت والأمير تميم والقيادات اللي بتدعموها، كلكم ضمن الفلك الإيراني وبتخدموا نفس الأجندة.","كده بتضايقوا نصر الله اللي انتوا بتعتبروه مرجعيتكم، وعمتكم كلكم، إيران الشريفة. انت وتميم والجهات اللي بتستخدم الصواريخ، كلكم تحت سيادة إيران وتابعين ليها."
33,train,L-HSAB,ئوبه كلاب خربوها وقعدوا علي تلتها,"يا لها من كارثة، تسببوا في خراب المكان بالكامل ثم تربعوا على أنقاضه للتحكم فيه.","يا للأسف، فيه ناس تسببت في خراب كبير، والآن تاركين الوضع على ما هو عليه بدون أي حلول.","يا خسارة، تسببوا بالخراب، وتركوا الأمور معلقة بدون حلول.","للأسف، فيه ناس خربوها وقعدوا على تلها."
34,train,L-HSAB,قد يكون كما تدعين لكن له مبدا واضح مو متل العواهر الي عندك,"قد يكون كما تدعين، لكن له مبدأ واضح، على عكس من هم معك ممن يفتقرون للمبادئ الواضحة.","قد يكون مثل ما تدعين، لكن له مبدأ واضح، مو مثل اللي عندك اللي ما يلتزمون بمبادئ.","قد يكون زي ما بتحكي، بس هو إله مبدأ واضح، مو متل اللي عندك اللي ما عندهم لا مبدأ ولا أخلاق.","ممكن يكون زي ما بتقولي، بس هو عنده مبدأ واضح، مش زي اللي عندك اللي مبادئهم سايبة."
35,train,L-HSAB,معالي الوزير خليك بالجاهليه وخازوق الجاهليه وشو بدك بقطر,"معالي الوزير، يبدو أن تركيزكم ينصب على مقاربات عفا عليها الزمن وما يترتب عليها من إشكاليات، فما شأنكم بقطر؟","معالي الوزير، الأجدر بك تركز على قضاياك الداخلية وتحدياتك اللي تتطلب حلول عصرية، وشأنك إيش بقطر؟","معالي الوزير، خليك بالأمور اللي بتخص الأفكار القديمة والمشاكل اللي بتترتب عليها، وشو بدك بقطر؟","معالي الوزير، خليك في الجاهلية بتاعتك، وفي المآزق اللي بتوقع فيها بسببها، وإيه اللي دخلك بقطر؟"
36,train,L-HSAB,العوني ما الو رب,العوني يتصرف وكأنه لا يخضع لأي سلطة أخلاقية أو قيم عليا.,العوني تصرفاته تدل إنه ما يخاف الله.,العوني بتصرف وكأنه ما في أي حساب على أفعاله.,العوني بيتصرف وكأنه فوق أي حساب.
37,train,L-HSAB,عندكم زباله يا رجل اكثر من عدد سكان بيروت ولك انتي مبين من شكلك انك زباله نايت كلوب لانك انيق وقذر في نفس الوقت,"حجم المشاكل والأزمات هنا يتجاوز عدد سكان بيروت، ويبدو أن مظهرك الأنيق يخفي وراءه انحداراً أخلاقياً كبيراً.","عندكم من الأمور اللي ما لها قيمة أو الأشخاص اللي ما ينفعون، أكثر من عدد سكان مدن كبيرة. وأنتي بالذات، واضح من مظهرك الخارجي الأنيق إن فيه تناقض كبير مع جوهرك أو قيمك الداخلية.","الكميات الهائلة من النفايات/الفوضى اللي موجودة عندكم بتخلي الواحد يستغرب حجمها. ومظهرك الأنيق بيعطي انطباع، بس للأسف، في جوانب تانية بتدل على إهمال أو عدم نظافة واضحة.","الكمية اللي عندكم من الفوضى أو الحاجات اللي مش مترتبة كتير أوي، أكتر من عدد سكان بيروت. ومبين من شكلك إنك بتهتمي بالأناقة أوي، لكن في نفس الوقت فيه تصرفات أو أسلوب بيوحي بإن فيه نوع من عدم النضافة أو قلة الذوق."
38,train,L-HSAB,ه منهنيك علي لهيدا اللحام اذا دوله ايران العربيه هيك طلعت معو و اذا كلكن هيك شي بخري عليكن,"نحن نتقدم بتهنئة ساخرة لعلي بخصوص هذا الفرد الذي يعتبر سلوكه قاسياً، خاصة إذا كانت ""دولة إيران العربية"" قد تجلت بهذا الشكل من خلاله. وإذا كان هذا يعكس طبيعة جميعكم، فهو أمر يستدعي استهجاناً عميقاً.","نبارك لكم على هالنهج، إذا كانت هذي هي الحصيلة اللي طلعت لكم من تعاملكم مع إيران، وإذا كان هذا هو توجهكم كلكم، فالمسألة تدعو للخيبة والأسف.","بصراحة، منبارك على النهج اللي عم تتبعوه، خصوصاً إذا كانت هاي هي النتائج اللي عم تطلع من علاقتكم مع إيران. وإذا كانت هاي هي طريقة تعاملكم كلكم، فهذا أمر مؤسف ومخيب للآمال.","مبروك عليك النهج ده، لو ده اللي طلعلك من دولة إيران العربية. ولو كلكم ماشيين على نفس الخط ده، يبقى إحنا بنعلن رفضنا التام لكل ده."
